lambda,em,pigment
738.1220709,10.21744937,Phycocyanin
739.7237345,9.870153584,Phycocyanin
741.325398,9.522857799,Phycocyanin
742.9270079,9.088605512,Phycocyanin
744.5284747,8.422469219,Phycocyanin
746.1299772,7.814303928,Phycocyanin
747.7314261,7.119182135,Phycocyanin
749.3329466,6.540002344,Phycocyanin
750.9343597,5.78690955,Phycocyanin
752.5358444,5.149758758,Phycocyanin
754.1374722,4.744491971,Phycocyanin
755.7393503,4.745022194,Phycocyanin
757.3414431,5.093378424,Phycocyanin
758.9435358,5.441734654,Phycocyanin
760.5452709,5.210380872,Phycocyanin
762.1467198,4.515259079,Phycocyanin
763.7483297,4.081006791,Phycocyanin
765.3503509,4.313421019,Phycocyanin
766.9522827,4.400907744,Phycocyanin
768.5540714,4.256510463,Phycocyanin
770.1556991,3.851243676,Phycocyanin
771.7577382,4.112643405,Phycocyanin
773.3599562,4.66389814,Phycocyanin
774.9620847,5.070225372,Phycocyanin
776.5636409,4.549016582,Phycocyanin
778.1652508,4.114764295,Phycocyanin
779.7670932,4.057323516,Phycocyanin
781.3691859,4.405679747,Phycocyanin
782.9710641,4.406209969,Phycocyanin
784.5727097,4.029928683,Phycocyanin
786.1742302,3.450748893,Phycocyanin
787.7758579,3.045482106,Phycocyanin
789.3776109,2.843113824,Phycocyanin
790.9796321,3.075528052,Phycocyanin
792.5815818,3.192000277,Phycocyanin
794.1834599,3.1925305,Phycocyanin
795.7852128,2.990162218,Phycocyanin
797.3870016,2.845764937,Phycocyanin
798.9888797,2.846295159,Phycocyanin
800.5907578,2.846825382,Phycocyanin
802.192636,2.847355605,Phycocyanin
803.794693,3.137740834,Phycocyanin
805.396893,3.660010068,Phycocyanin
806.9988069,3.718511292,Phycocyanin
808.6006135,3.603099512,Phycocyanin
810.2022413,3.197832725,Phycocyanin
811.8041194,3.198362948,Phycocyanin
552.3661177,1.615636084,Chlorophyll
553.77989,1.576079586,Chlorophyll
555.1926813,1.054069638,Chlorophyll
556.6060008,0.791842317,Chlorophyll
558.019094,0.418279585,Chlorophyll
559.4328662,0.378723087,Chlorophyll
